anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Äußere Abenberger Str. 131/133,"Abbrucharbeiten,Entsorgungsbetriebe,Erdbau",Roth-Rothaurach,info@reithelshoefer.de,Reithelshöfer GmbH,https://www.gelbeseiten.de/gsbiz/ad5f9f33-13cf-49de-acdd-1c1990bd204b,91154 ,09171 8 45-0
,Am Bäuerleinsberg 5A,"Containerdienste,Abbrucharbeiten,Baggerarbeiten",Erlenbach,info@recycling-vaeth.de,Recycling Väth,https://www.gelbeseiten.de/gsbiz/a993f4c8-a6f9-49a7-bfae-8ad521e15667,97837 ,0160 6 11 85 64
,Am Stutel 1,"Baggerarbeiten,Erdbau",Thüngersheim-Staustufe,info@erdbau-bauermees.de,"BAUERMEES ERDBAU, Baggerarbeiten zum Staunen",https://www.gelbeseiten.de/gsbiz/0a69b2d2-6b92-4f3a-a0dd-dfa81501baa1,97291 ,09364 96 03
,Grasstr. 5,Erdbau,Essen-Borbeck-Mitte,info@AuP-bm.de,A & P Bodenmanagement GmbH,https://www.gelbeseiten.de/gsbiz/2d382af2-703a-4ffd-8a52-2457625a617b,45356 ,0201 3 64 34 14
,Oraniendamm 68,"Tiefbau,Abbrucharbeiten,Erdbau",Berlin-Waidmannslust,amba.erdbau@t-online.de,AMBA Erdbau GmbH,https://www.gelbeseiten.de/gsbiz/8e65bded-25da-4c90-8e3e-7ecfb752b263,13469 ,030 40 53 64 73
,Nasse Wiesen 5,Erdbau,Riedenberg,info@kuwerdbau.de,K & W Erdbau GmbH,https://www.gelbeseiten.de/gsbiz/d1259b6a-09c5-4ac2-946c-c520ae8cfba6,97792 ,09749 14 48
,An der Autobahn 9-11,"Tiefbau,Abbrucharbeiten,Erdbau",St. Leon-Rot-St Leon,info@eagmbh.net,EAG Erdbewegungs- und Abbruchgesellschaft mbH,https://www.gelbeseiten.de/gsbiz/226cbb3f-3b47-4181-b287-b0da661eb6ab,68789 ,06227 86 45 30
,Kutscherweg 28,"Garten- und Landschaftsbau,Abbrucharbeiten,Betonarbeiten",Leipzig-Lindenthal,info@bsl-leipzig.de,Bau Service Logistik GmbH,https://www.gelbeseiten.de/gsbiz/a78cc214-ed07-40bf-8e0c-440064efa065,04158 ,0341 9 09 65 17
,An der Weinleithe 27,Erdbau,Zirndorf,baggerstingl@t-online.de,Erdbau Stingl,https://www.gelbeseiten.de/gsbiz/55c5ae8a-9ef6-4ec5-9202-c776b7f259d4,90513 ,0911 60 66 37
,In der Breitwiese 1,"Erdbau,Abbrucharbeiten,Containerdienste",Östringen / Odenheim,info@gaa-industrieservice.de,GAA GmbH Industrieservice & Dienstleistungen,https://www.gelbeseiten.de/gsbiz/693a8a30-5cf9-4e61-8f8f-5402b1a89a72,76684 ,07259 5 38 35 05
,Triftstr. 28,Containerdienste,Blankenfelde,hmh@hmhgmbh.de,HMH Entsorgung GmbH,https://www.gelbeseiten.de/gsbiz/11c15cf3-76d0-4236-a640-7c7c14fb2c1b,15827 ,03379 37 09 12
,Lise-Meitner-Str. 24-30,"Abbrucharbeiten,Container,Erdbau",Kleve-Kellen,info@pietsch-rohstoffe.de,Pietsch Containerdienst,https://www.gelbeseiten.de/gsbiz/a616eeb5-52e8-4dee-9bca-e048015cb336,47533 ,02821 8 99 99 33
,Am Bahnhof 14,"Erdbau,Abbrucharbeiten,Aushubverwertung",Wiesentheid,weiglein@kwk-transporte.de,KWK Transporte GmbH,https://www.gelbeseiten.de/gsbiz/157c1e34-1061-4204-b921-96243e2e61e7,97353 ,09383 3 37
,Mümlingtalstr. 1,"Baggerarbeiten,Erdbau,Speditionen",Mömlingen,Peter_GmbH@t-online.de,Peter GmbH,https://www.gelbeseiten.de/gsbiz/c98dc19e-06ef-415b-8d90-7d8f3be231f8,63853 ,06022 3 10 68
,Siemensstr. 17,Erdbau,Berlin-Lankwitz,info@brockschmidt-berlin.de,B & F Brockschmidt GmbH,https://www.gelbeseiten.de/gsbiz/d9ed92b0-f8f3-407a-8387-756194f50f22,12247 ,030 7 71 10 90
,Hemsbach 103B,"Erdbau,Abbrucharbeiten,Baggerarbeiten",Mömbris-Hemsbach,info@erdbau-heeg.de,"Erdbau Heeg, Inh. Sebastian Heeg",https://www.gelbeseiten.de/gsbiz/0a6e84d9-085e-4b48-89e1-15510bd89aab,63776 ,06029 65 55
,Weberstr. 19a,Garten- und Landschaftsbau,Schwielowsee-Caputh,info@beton-erdbau-potsdam.de,"Krüger, Wolfgang",https://www.gelbeseiten.de/gsbiz/c1cd9d9e-8ded-41f1-a383-cccd60bc3cbe,14548 ,033209 7 02 39
,Feldkirchener Str. 9,"Abbrucharbeiten,Containerdienste,Erdbau",Weißenfeld,info@abbruch-datzer.de,DATZER AUGUST,https://www.gelbeseiten.de/gsbiz/42187cca-8261-49af-9c1c-5871c09b9818,85622 ,089 9 03 22 41
,Im Zwirn,Erdbau,Neunkirchen,info@baer-recycling.de,Bär & Söhne GmbH,https://www.gelbeseiten.de/gsbiz/8f463d47-8648-45d5-ab2d-5813d6ccb825,91233 ,09123 95 47-0
,Trajanstr. 17,"Abbrucharbeiten,Erdbau",Xanten,info@kwscholten.de,KW Scholten GmbH,https://www.gelbeseiten.de/gsbiz/c673a37f-12d8-4f8c-bca0-faf20bae2e2b,46509 ,02801 51 49
,Holzschwanger Str. 44,Erdbau,Neu-Ulm-Reutti,info@th-erdbau.de,TH - ERDBAU,https://www.gelbeseiten.de/gsbiz/9efe69e6-71f4-46fc-8f5c-333b309476cc,89233 ,0173 7 02 59 71
,Spitzhausstr 40,"Container,Entsorgungsbetriebe,Erdbau",Dresden-Kaditz,info@humuswirtschaft.de,Humuswirtschaft Kaditz GmbH,https://www.gelbeseiten.de/gsbiz/7c59ac85-ab8c-4228-bb08-56c16541e812,01139 ,0351 83 93 60
,Plattenäcker 18,"Erdbau,Abbrucharbeiten,Containerdienste",Bellenberg,info@thoma-gmbh.com,Thoma GmbH,https://www.gelbeseiten.de/gsbiz/10ec216d-6133-4617-8b6e-3a619a17d8f1,89287 ,01520 3 48 97 56
,Daimler Rring 2,Erdbau,Kleinwallstadt,info@reuss-gmbh.de,Reuss Abbruch-Erdbau-Baudienstleistung GmbH,https://www.gelbeseiten.de/gsbiz/de2ff1b3-770c-4511-9116-cf4212a0d9a2,63839 ,06022 50 70 25-0
,Brühlstr. 20,"Straßenbau,Bauunternehmen,Erdbau",Hülben,info@wk-bau-gmbh.de,wk-bau GmbH - Bauunternehmen,https://www.gelbeseiten.de/gsbiz/1b6112ec-7886-4f76-897f-b315cad78018,72584 ,07125 57 68
,Seestr. 56/1,"Erdbau,Abbrucharbeiten,Baggerarbeiten",Kernen-Rommelshausen,info@ehmann-schweizer.de,Ehmann & Schweizer GmbH,https://www.gelbeseiten.de/gsbiz/27934efa-f712-48c9-b963-b08b792a7f0e,71394 ,07151 4 25 72
,Schloßhof 1,"Transporte,Erdbau,Schüttguttransporte",Wilhermsdorf,info@enssner-transporte.de,Enßner Konrad GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/2003f505-e0c2-445a-87a4-5fe153b54065,91452 ,09102 99 79 29
,Otto-Hahn-Str. 4,"Erdbau,Abbrucharbeiten,Container",Bad Mergentheim,info@breidenbach-gmbh.de,Udo Breidenbach GmbH,https://www.gelbeseiten.de/gsbiz/0f2d66d7-0a56-48d2-8fce-ee1cfdf3936a,97980 ,07931 23 81
,Im Deboldsacker 1,"Erdbau,Abbrucharbeiten,Baggerarbeiten",Abstatt,info@betz-erdbau.de,Betz Erdbau GmbH,https://www.gelbeseiten.de/gsbiz/9d3de78e-3ce7-4cb6-8bf7-99ad39d44148,74232 ,07062 95 48-0
,Bismarckstr. 48,"Garten- und Landschaftsbau,Baggerarbeiten,Erdbau",Leonberg-Eltingen,info@braun-strassenbau.de,Braun Tief- u. Straßenbau GmbH & Co.KG,https://www.gelbeseiten.de/gsbiz/35cd2150-790a-48b0-a142-df17948d62a4,71229 ,07152 4 71 16
,Heideweg 5,"Baggerarbeiten,Abbrucharbeiten,Pflasterbau",Amberg-Gailoh,fa.rubenbauer@online.de,Rubenbauer Gerhard,https://www.gelbeseiten.de/gsbiz/41e68617-1d8e-4657-bebf-a6e89de22777,92224 ,09621 8 88 12
,Houbirgstr. 6,"Abbrucharbeiten,Erdbau",Hersbruck,info@bub7711.de,"Siegfried Bub & Sohn, Containerdienst, Erdbau- und Containerdienst",https://www.gelbeseiten.de/gsbiz/0d7aca3b-bc4a-4ac6-83bb-f17022ec6258,91217 ,09151 77 11
,Bergisch Gladbacher Str. 33,Erdbau,Odenthal,info@erdarbeiten-pochert.de,Erd- und Abrissarbeiten Pochert,https://www.gelbeseiten.de/gsbiz/b77518b0-dc24-4713-8db1-e6a4a5de4a84,51519 ,02202 9 59 02 53
,Birnenweg 15,"Erdbau,Bauunternehmen,Betonbohr- und -sägearbeiten",Reutlingen-In Laisen,info@jentz-bau.de,Jentz & Jentz Bau GmbH,https://www.gelbeseiten.de/gsbiz/468641f6-8791-4c52-a4d6-d45d48837652,72766 ,07121 14 47 86 86
,Jakob-Gauermann-Str. 4,"Transporte,Bagger,Baggerarbeiten",Fellbach-Oeffingen,j.pfeiffer-tiefbau@t-online.de,"Jürgen Pfeiffer, Baggerbetrieb Fuhrunternehmen",https://www.gelbeseiten.de/gsbiz/d78d9aec-9aad-40a9-94a7-9006e9f659a5,70736 ,0711 5 16 05 00
